mapc_id,TransitScore,WalkScore,BikeScore
112849,,18.0,28.0
113435,,69.0,56.0
113444,,68.0,57.0
113730,,10.0,2.0
113976,,5.0,23.0
114167,,69.0,54.0
114719,,4.0,12.0
114728,,4.0,12.0
114877,,2.0,2.0
114906,,0.0,1.0
114920,,0.0,1.0
115207,,0.0,1.0
115215,,0.0,1.0
115218,,0.0,1.0
115222,,3.0,2.0
115450,,4.0,2.0
115465,,2.0,2.0
115496,,3.0,1.0
115512,,4.0,12.0
115528,,5.0,27.0
115529,,4.0,2.0
115547,,4.0,11.0
115565,,2.0,1.0
115568,,4.0,19.0
115569,,4.0,14.0
115585,,2.0,1.0
115586,,4.0,2.0
115657,,0.0,5.0
115659,,3.0,12.0
115660,,0.0,13.0
115670,,0.0,
115671,,0.0,
115675,,6.0,3.0
115676,,2.0,1.0
115677,,0.0,4.0
115678,,6.0,12.0
115679,,5.0,7.0
115680,,5.0,3.0
115690,,1.0,7.0
115697,,21.0,11.0
115704,,5.0,21.0
115705,,4.0,15.0
115712,,0.0,20.0
115864,,0.0,
116057,,0.0,13.0
116058,,0.0,7.0
116059,,0.0,16.0
116060,,0.0,5.0
116092,,1.0,25.0
116189,,0.0,15.0
116190,,0.0,17.0
116212,,3.0,13.0
116213,,5.0,21.0
116218,,5.0,7.0
116220,,5.0,15.0
116227,,11.0,18.0
116232,,2.0,2.0
116251,,11.0,25.0
116262,,5.0,8.0
116263,,4.0,13.0
116264,,11.0,3.0
116266,,7.0,10.0
116350,,4.0,17.0
116355,,5.0,25.0
116359,,10.0,22.0
116428,,8.0,27.0
116430,,1.0,26.0
116433,,5.0,25.0
116452,,9.0,18.0
116457,,0.0,
116461,,0.0,
116471,,0.0,17.0
116480,,4.0,22.0
116633,,0.0,25.0
116634,,0.0,24.0
116635,,1.0,15.0
116639,,3.0,26.0
116640,,9.0,24.0
116642,,2.0,21.0
116647,,3.0,21.0
116648,,1.0,25.0
116649,,2.0,13.0
116651,,0.0,25.0
116652,,0.0,17.0
116653,,0.0,24.0
116655,,25.0,19.0
116656,,0.0,20.0
116662,,0.0,7.0
116663,,0.0,23.0
116665,,0.0,17.0
116667,,1.0,9.0
116668,,1.0,13.0
116671,,0.0,10.0
116672,,0.0,12.0
116673,,0.0,15.0
116674,,0.0,4.0
116676,,0.0,6.0
116677,,0.0,4.0
116678,,0.0,17.0
116681,,2.0,20.0
116716,,0.0,19.0
116721,,0.0,7.0
116724,,0.0,4.0
116769,,0.0,5.0
116770,,3.0,25.0
116777,,2.0,13.0
116778,,4.0,14.0
116788,,4.0,21.0
116806,,5.0,21.0
116807,,5.0,14.0
116808,,5.0,27.0
116821,,9.0,8.0
116824,,10.0,25.0
116894,,8.0,23.0
116947,,7.0,23.0
116949,,20.0,10.0
116957,,22.0,11.0
117004,,1.0,27.0
117006,,8.0,31.0
117007,,1.0,28.0
117010,,6.0,29.0
117021,,1.0,23.0
117028,,1.0,26.0
117032,,0.0,25.0
117040,,2.0,20.0
117041,,2.0,23.0
117045,,5.0,6.0
117049,,0.0,18.0
117050,,1.0,16.0
117063,,0.0,23.0
117064,,1.0,22.0
117167,,0.0,19.0
117168,,0.0,
117170,,0.0,19.0
117173,,0.0,25.0
117185,,0.0,
117188,,0.0,15.0
117212,,0.0,3.0
117232,,5.0,14.0
117233,,5.0,6.0
117238,,5.0,27.0
117239,,5.0,18.0
117240,,5.0,20.0
